file,runid,new,P,Q,nlive,niter,logl,logz,logzerr,information,walltime
awb/arctic_a0094,0,False,0,1,500,3847,-56.327443052457426,-63.175697812323435,0.15331445949330227,5.814687480597293,51.21128487586975
awb/arctic_a0094,0,False,1,1,500,3814,-66.70692385187988,-73.49048670611808,0.15265686009819734,5.74054564795081,73.62639546394348
awb/arctic_a0094,0,False,2,1,500,4002,-12.074026524646062,-19.222238167347495,0.15646240072374754,6.165786401200375,106.94793438911438
awb/arctic_a0094,0,False,3,1,500,4478,108.80859838569812,100.69735667150043,0.16899777718955852,7.072670571751772,161.20200729370117
awb/arctic_a0094,0,False,4,1,500,4450,121.63230114347868,113.57988290132889,0.16887357358591212,6.989440680894873,194.6020896434784
awb/arctic_a0094,0,False,5,1,500,4388,113.1698817100149,105.2378732012658,0.16717153056077014,6.880900307549794,236.07013368606567
awb/arctic_a0094,0,False,6,1,500,4430,105.45765205048812,97.44437717167915,0.1683735506465379,6.946512190223075,295.9803192615509
awb/arctic_a0094,0,False,7,1,500,3909,126.17389832493811,119.20652123569033,0.154574846663946,5.961406270225453,283.76891469955444
awb/arctic_a0094,0,False,8,1,500,3513,125.31895985049158,119.13884839511674,0.14418579969329387,5.160549830528524,292.927214384079
awb/arctic_a0094,0,False,9,1,500,3047,119.5426679840443,114.30774754186403,0.1274215272590052,4.378785706639846,250.95364379882812
awb/arctic_a0094,0,False,10,1,500,3252,133.0307434980892,127.34406185563302,0.1381671892949207,4.54503828017576,318.75351190567017
awb/arctic_a0094,0,False,0,2,500,5973,-49.147093857015165,-60.36804812101434,0.21046886684883598,9.20781099769021,116.60532331466675
awb/arctic_a0094,0,False,1,2,500,6132,-59.6184076189846,-71.1555488653853,0.212978191797,9.542747553269486,166.53348350524902
awb/arctic_a0094,0,False,2,2,500,6598,17.78535799939791,5.326714360499523,0.22338527433957547,10.426883782014116,229.29434871673584
awb/arctic_a0094,0,False,3,2,500,7752,172.7644006710949,157.980995633508,0.24196888864427996,12.756940751648415,344.1299731731415
awb/arctic_a0094,0,False,4,2,500,8320,250.74545398758744,234.83194544624234,0.2524145250856481,13.848856298844396,463.0299072265625
awb/arctic_a0094,0,False,5,2,500,8290,256.4408740093776,240.5896153350943,0.2505592479999218,13.81665422077009,548.1343259811401
awb/arctic_a0094,0,False,6,2,500,8962,326.2694814247797,309.0739899594798,0.2607820207124878,15.214323362552875,732.6256766319275
awb/arctic_a0094,0,False,7,2,500,9106,374.6212591344347,357.15373451975086,0.26319330376152605,15.530975184850831,883.3191239833832
awb/arctic_a0094,0,False,8,2,500,9875,530.0657018806558,511.04557133710165,0.27532631489807824,16.990142683743272,1156.599212884903
awb/arctic_a0094,0,False,9,2,500,9561,548.2010260529461,529.8157699484657,0.2703582908337337,16.441564005028226,1251.7277836799622
awb/arctic_a0094,0,False,10,2,500,9120,572.8272102526099,555.3166397526082,0.26433981433735415,15.443002821637037,1368.2350327968597
awb/arctic_a0094,0,False,0,3,500,6887,-60.064480797343236,-73.15579334114204,0.23408052130826362,10.398174575403921,170.68559956550598
awb/arctic_a0094,0,False,1,3,500,9450,-64.88315605188014,-83.26713155691017,0.2887258081858272,10.961468775933838,305.7234570980072
awb/arctic_a0094,0,False,2,3,500,7754,6.854152739824517,-8.055612213008015,0.24643533930329373,11.454595552606683,295.4454379081726
awb/arctic_a0094,0,False,3,3,500,9419,159.71069788621594,141.45123299566447,0.27477768071094516,14.340289757996686,449.75057458877563
awb/arctic_a0094,0,False,4,3,500,10163,235.62515913332408,215.86467341125802,0.28498966028128125,15.581079329795585,580.9209456443787
awb/arctic_a0094,0,False,5,3,500,10389,242.56762102274433,222.38060605992152,0.2873879094260172,16.21819892075456,694.758980512619
awb/arctic_a0094,0,False,6,3,500,13357,343.9202085740457,317.8123999579416,0.32565140480706617,22.29592552196624,1094.567542552948
awb/arctic_a0094,0,False,7,3,500,12608,371.6833521752923,347.0988604664727,0.3200729006885473,20.976192746315974,1177.735996246338
awb/arctic_a0094,0,False,8,3,500,13067,517.74760959797,492.2345823381993,0.3246617430888581,21.716996996363946,1419.0327117443085
awb/arctic_a0094,0,False,9,3,500,13101,540.3928766084691,514.8187065198201,0.325313990278596,22.010546185064754,1593.2374489307404
awb/arctic_a0094,0,False,10,3,500,12899,567.3163682528507,542.1235078979388,0.3194498420813674,21.46592849159606,1829.1253499984741
awb/arctic_a0094,0,True,0,1,500,3945,-56.32688432704087,-63.37214008281622,0.15619360122502332,5.993624717758976,67.436270236969
awb/arctic_a0094,0,True,1,1,500,3838,-66.70731932771265,-73.5390451720907,0.1537061107814066,5.767673768170184,82.02307271957397
awb/arctic_a0094,0,True,2,1,500,4007,-12.074297138657197,-19.24274131004423,0.15734160753794446,6.144931841381469,113.45670104026794
awb/arctic_a0094,0,True,3,1,500,4487,108.8053318516285,100.6806014128003,0.16856072243273018,7.132857188939653,167.33712553977966
awb/arctic_a0094,0,True,4,1,500,4434,121.63185648481642,113.61040621002186,0.16830446755348416,6.968310579844115,205.60110473632812
awb/arctic_a0094,0,True,5,1,500,4347,113.17017604857722,105.32383448122431,0.16544520300170235,6.842017933456361,248.31784749031067
awb/arctic_a0094,0,True,6,1,500,4354,105.45828209680032,97.59640617009104,0.1659355029170171,6.83800815234801,294.4571466445923
awb/arctic_a0094,0,True,7,1,500,4029,126.17328019323328,118.96206665218494,0.15796776057724224,6.186130408241041,316.4010696411133
awb/arctic_a0094,0,True,8,1,500,3587,125.31997799397654,118.99563822958442,0.14650353603262184,5.294001411666827,312.7722065448761
awb/arctic_a0094,0,True,9,1,500,3103,119.5428853337576,114.20298689846975,0.12911509802077492,4.487496941275083,266.1037690639496
awb/arctic_a0094,0,True,10,1,500,3036,133.02944297592143,127.77721403294309,0.13160162179169793,4.125609682882654,300.49874663352966
awb/arctic_a0094,0,True,0,2,500,5873,-49.200475486219815,-60.21935693311572,0.12796197882588956,8.934907163835618,144.65328788757324
awb/arctic_a0094,0,True,1,2,500,5868,-59.61946264458579,-70.62855995404676,0.12812610054956006,8.923913972681568,182.7611527442932
awb/arctic_a0094,0,True,2,2,500,8147,22.04523884703751,6.4260538850576765,0.1974657543748591,12.248890354553605,313.31878447532654
awb/arctic_a0094,0,True,3,2,500,7721,172.7335503596917,158.02398504617477,nan,12.683981477655493,379.86489701271057
awb/arctic_a0094,0,True,4,2,500,8345,250.763242967111,234.8029611054666,0.18806831143943842,13.975827524508674,508.53321647644043
awb/arctic_a0094,0,True,5,2,500,8331,256.3983509038685,240.47612609575884,0.18952922165366837,13.933408363793518,599.7672159671783
awb/arctic_a0094,0,True,6,2,500,9007,326.2408855036877,308.9567943057842,0.20311879924031256,15.231288799392132,784.1054000854492
awb/arctic_a0094,0,True,7,2,500,9226,374.65604874195367,356.9451582522134,0.20707175937365396,15.694940975240911,968.0510938167572
awb/arctic_a0094,0,True,8,2,500,10010,530.0424487701176,510.77338503927183,0.22129077476886594,17.33685577342817,1236.5634791851044
awb/arctic_a0094,0,True,9,2,500,9745,548.1822083022846,529.4316249772788,0.21653771583595954,16.743901947143286,1343.5352339744568
awb/arctic_a0094,0,True,10,2,500,9190,572.8232643145494,555.1804755971315,0.20658730841341647,15.646733956225148,1471.8433320522308
awb/arctic_a0094,0,True,0,3,500,12908,30.277997333993866,5.054742758666786,nan,20.770894597138767,379.9645962715149
awb/arctic_a0094,0,True,1,3,500,13179,25.940780774830543,0.1935218176963273,nan,21.864229394282603,503.9529540538788
awb/arctic_a0094,0,True,2,3,500,12481,86.268952810445,61.9571394826741,0.26741109670640195,21.042468457837835,608.7067410945892
awb/arctic_a0094,0,True,3,3,500,12394,385.32349041836966,361.19091894253626,nan,21.218316461026177,745.9722452163696
awb/arctic_a0094,0,True,4,3,500,14075,540.4408518764571,512.941146358733,0.2871256626900729,24.468009687805647,1028.8863234519958
awb/arctic_a0094,0,True,5,3,500,13706,539.0595962576896,512.3385392769362,nan,24.097553985151535,1165.030086517334
awb/arctic_a0094,0,True,6,3,500,13050,557.3901214311678,531.9608114595628,nan,22.683489546235364,1224.113106250763
awb/arctic_a0094,0,True,7,3,500,12939,607.9696838259149,582.7609191737833,0.27102485929426984,22.42723087919967,1128.6585111618042
awb/arctic_a0094,0,True,8,3,500,13829,712.8645600906481,685.8857536075012,nan,24.247525255860978,1392.7475554943085
awb/arctic_a0094,0,True,9,3,500,13854,736.4790193555039,709.4496146372903,nan,24.331162707228373,1332.4491212368011
awb/arctic_a0094,0,True,10,3,500,12337,734.858484706336,710.8767868975265,nan,21.401948742988566,1313.3309903144836
bdl/arctic_a0017,0,False,0,1,500,3742,-18.49709357365295,-25.130740538295335,0.15015806568468365,5.630446363698571,46.51681423187256
bdl/arctic_a0017,0,False,1,1,500,3696,-29.229905184887016,-35.773389662362895,0.14784485622716778,5.593066158203143,70.48374629020691
bdl/arctic_a0017,0,False,2,1,500,3780,-27.10550685223678,-33.81834111890883,0.15163573087010634,5.677711760892041,96.11223816871643
bdl/arctic_a0017,0,False,3,1,500,3979,6.564893213383844,-0.5456647559676754,0.1564298439706774,6.093578687933519,132.8664891719818
bdl/arctic_a0017,0,False,4,1,500,4016,17.797129877119804,10.604570917150927,0.15798912177365323,6.140900913145508,170.6866843700409
bdl/arctic_a0017,0,False,5,1,500,3987,28.561397918989535,21.43357815125351,0.1562113573550779,6.1397862572379935,207.9751558303833
bdl/arctic_a0017,0,False,6,1,500,4021,20.51236164473628,13.31397910363921,0.15758695678566984,6.176455704913101,255.2881097793579
bdl/arctic_a0017,0,False,7,1,500,4016,12.806425071308794,5.621049426975444,0.15796794532835493,6.14000680907679,299.27730655670166
bdl/arctic_a0017,0,False,8,1,500,3764,5.574150662227879,-1.1035843072055198,0.15051769875398802,5.681671114239016,331.2040946483612
bdl/arctic_a0017,0,False,9,1,500,3745,-1.506211753477558,-8.144557848856623,0.1497467637436269,5.658064842243741,376.1407310962677
bdl/arctic_a0017,0,False,10,1,500,3830,-5.9871176152429015,-12.799280645240229,0.15253494573616813,5.797359997351848,455.13030314445496
bdl/arctic_a0017,0,False,0,2,500,6327,-0.8629427512004462,-12.800909771022077,0.21844281454772388,9.815575001584424,123.32196354866028
