experiment,vowel,new,K,H,logz,p
compare,that,TRUE,1,9.82943687804319,20.118632326256,1.91380865916468e-77
compare,that,TRUE,2,16.958165502972,62.159350072707,3.46697131000163e-59
compare,that,TRUE,3,24.5755000677276,105.885994214527,3.38992828545826e-40
compare,that,TRUE,4,26.5763107481588,141.515544200615,1.00903786166731e-24
compare,that,TRUE,5,35.3951264492086,196.768589167852,1
compare,you,TRUE,1,9.49115519211881,562.598203054403,4.32154915731836e-84
compare,you,TRUE,2,15.9592370501371,602.576340788443,9.95231405374666e-67
compare,you,TRUE,3,22.3219048370412,651.470817625308,1.7081482402952e-45
compare,you,TRUE,4,28.9597582515627,721.270402802199,3.51641593431119e-15
compare,you,TRUE,5,29.7355616975398,754.551736926698,1
compare,little,TRUE,1,9.62214856180328,263.600644830267,2.80494360576297e-68
compare,little,TRUE,2,16.8861953109829,316.127424685176,1.81976277633685e-45
compare,little,TRUE,3,22.2944875374768,358.27987074624,3.68629001794238e-27
compare,little,TRUE,4,35.3939959694651,397.796000651907,5.34843428925052e-10
compare,little,TRUE,5,31.2307512129049,419.145047719452,0.99999999946516
compare,until,TRUE,1,8.89858230799674,-32.3512971543262,1.65091796054996e-101
compare,until,TRUE,2,17.8045004376633,140.336498977482,1.64090124445218e-26
compare,until,TRUE,3,19.72671785511,148.599911799274,6.36556613461274e-23
compare,until,TRUE,4,25.0064338569582,174.676748542014,1.34543690914281e-11
compare,until,TRUE,5,30.6115422197862,199.708465765119,0.999999999986557
free,shore,TRUE,1,7.89025083941192,126.447804838419,9.95829210713609e-291
free,shore,TRUE,2,19.3021006027524,553.828352252421,4.04760641926181e-105
free,shore,TRUE,3,23.5695831459609,711.164025351019,8.65392066062492e-37
free,shore,TRUE,4,22.2445178904689,745.901062761665,1.05515576075792e-21
free,shore,TRUE,5,23.0146250789163,752.662529072676,9.11557529725993e-19
free,shore,TRUE,6,32.249678400474,775.242058371949,5.83376675824559e-09
free,shore,TRUE,7,27.9201661971333,781.970900113737,4.87806855553818e-06
free,shore,TRUE,8,36.0546410766513,782.600919846643,9.15929386395388e-06
free,shore,TRUE,9,40.3379820465498,794.201529322148,0.999868012878591
free,shore,TRUE,10,44.6584301912177,785.156360061518,0.000117943925218039
free,that,TRUE,1,9.87480536038416,20.0974758128294,1.06311423887966e-80
free,that,TRUE,2,17.0129727167241,62.1255792049639,1.90174955366717e-62
free,that,TRUE,3,25.2439034884519,105.30147374001,1.07202785704331e-43
free,that,TRUE,4,28.1629053184978,139.686098153009,9.1887982386303e-29
free,that,TRUE,5,34.7802949040258,197.099453806373,0.000789882084300552
free,that,TRUE,6,42.0502693714867,203.29078098717,0.385852655757971
free,that,TRUE,7,39.3889421806441,203.754273309042,0.613357459700306
free,that,TRUE,8,41.7457115636773,182.654075537707,4.20740377628688e-10
free,that,TRUE,9,42.7907441864765,184.23113939983,2.03668715943583e-09
free,that,TRUE,10,53.2004770777835,171.159031408132,4.28331444376393e-15
free,you,TRUE,1,10.1364253684642,561.93608190366,4.72915189397527e-111
free,you,TRUE,2,18.2688235870033,600.150116783636,1.86606919159123e-94
free,you,TRUE,3,24.1406948021185,649.729582391793,6.35354444304213e-73
free,you,TRUE,4,29.4249512892732,720.729495825713,4.34396874789914e-42
free,you,TRUE,5,31.8252316431473,753.91716325742,1.12488344414904e-27
free,you,TRUE,6,39.4918277938442,777.74496795909,2.50837014301971e-17
free,you,TRUE,7,37.1329947081927,791.28139568748,1.89752492753695e-11
free,you,TRUE,8,47.5078765318221,815.96794308715,0.998662639043729
free,you,TRUE,9,46.7866371843733,809.345818888622,0.00132882198533123
free,you,TRUE,10,48.8397565793681,804.298409059961,8.53895192410178e-06
free,little,TRUE,1,10.1170317933482,263.051121692621,3.49311704887846e-88
free,little,TRUE,2,17.5456780231795,315.388369997642,1.87495684091262e-65
free,little,TRUE,3,22.3167159695012,358.216106720096,7.46175536039734e-47
free,little,TRUE,4,31.7391700932238,407.175088637813,1.3660188512556e-25
free,little,TRUE,5,33.0570252039787,416.854990118375,2.18466318947446e-21
free,little,TRUE,6,36.0527263371445,429.696465817856,8.24833947625751e-16
free,little,TRUE,7,36.2491870602715,455.452801612321,0.000126532193392139
free,little,TRUE,8,64.4933545854108,464.427670543753,0.999855152966841
free,little,TRUE,9,52.5525064265984,453.488541238516,1.77473533045828e-05
free,little,TRUE,10,47.9022553018309,450.045766482188,5.67486475785816e-07
free,until,TRUE,1,9.39329289587103,-32.8092729392907,7.92362214935932e-111
free,until,TRUE,2,18.7463211040646,139.291764033661,4.37980166660709e-36
free,until,TRUE,3,20.3294432321815,148.312511673353,3.62339238333877e-32
free,until,TRUE,4,21.935591155546,162.757981858153,6.80304520577847e-26
free,until,TRUE,5,26.1839901836405,175.868280465695,3.36073058347045e-20
free,until,TRUE,6,34.0383349946791,200.050896459547,1.06858822010876e-09
free,until,TRUE,7,37.6226422731849,207.796271059347,2.46935671545022e-06
free,until,TRUE,8,40.0787922604622,212.622449698527,0.000308011252627516
free,until,TRUE,9,37.5920632617946,210.300375312139,3.02066449134213e-05
free,until,TRUE,10,41.3248683329003,220.70748319331,0.999659311677167
